"cohort_month","month_number","retained_customers","cohort_size","retention_rate"
"2023-01-01",0,"16","16","100.0"
"2023-01-01",1,"16","16","100.0"
"2023-01-01",2,"16","16","100.0"
"2023-01-01",3,"15","16","93.8"
"2023-01-01",4,"13","16","81.3"
"2023-01-01",5,"13","16","81.3"
"2023-01-01",6,"12","16","75.0"
"2023-01-01",7,"12","16","75.0"
"2023-01-01",8,"11","16","68.8"
"2023-01-01",9,"10","16","62.5"
"2023-01-01",10,"9","16","56.3"
"2023-01-01",11,"7","16","43.8"
"2023-01-01",12,"7","16","43.8"
"2023-02-01",0,"18","18","100.0"
"2023-02-01",1,"16","18","88.9"
"2023-02-01",2,"15","18","83.3"
"2023-02-01",3,"15","18","83.3"
"2023-02-01",4,"14","18","77.8"
"2023-02-01",5,"14","18","77.8"
"2023-02-01",6,"14","18","77.8"
"2023-02-01",7,"14","18","77.8"
"2023-02-01",8,"13","18","72.2"
"2023-02-01",9,"10","18","55.6"
"2023-02-01",10,"10","18","55.6"
"2023-02-01",11,"10","18","55.6"
"2023-02-01",12,"9","18","50.0"
"2023-03-01",0,"17","17","100.0"
"2023-03-01",1,"17","17","100.0"
"2023-03-01",2,"17","17","100.0"
"2023-03-01",3,"14","17","82.4"
"2023-03-01",4,"13","17","76.5"
"2023-03-01",5,"10","17","58.8"
"2023-03-01",6,"9","17","52.9"
"2023-03-01",7,"7","17","41.2"
"2023-03-01",8,"7","17","41.2"
"2023-03-01",9,"6","17","35.3"
"2023-03-01",10,"4","17","23.5"
"2023-03-01",11,"4","17","23.5"
"2023-03-01",12,"4","17","23.5"
"2023-04-01",0,"14","14","100.0"
"2023-04-01",1,"14","14","100.0"
"2023-04-01",2,"13","14","92.9"
"2023-04-01",3,"12","14","85.7"
"2023-04-01",4,"12","14","85.7"
"2023-04-01",5,"12","14","85.7"
"2023-04-01",6,"12","14","85.7"
"2023-04-01",7,"12","14","85.7"
"2023-04-01",8,"12","14","85.7"
"2023-04-01",9,"12","14","85.7"
"2023-04-01",10,"12","14","85.7"
"2023-04-01",11,"12","14","85.7"
"2023-04-01",12,"12","14","85.7"
"2023-05-01",0,"26","26","100.0"
"2023-05-01",1,"26","26","100.0"
"2023-05-01",2,"26","26","100.0"
"2023-05-01",3,"23","26","88.5"
"2023-05-01",4,"23","26","88.5"
"2023-05-01",5,"22","26","84.6"
"2023-05-01",6,"20","26","76.9"
"2023-05-01",7,"20","26","76.9"
"2023-05-01",8,"19","26","73.1"
"2023-05-01",9,"19","26","73.1"
"2023-05-01",10,"18","26","69.2"
"2023-05-01",11,"17","26","65.4"
"2023-05-01",12,"17","26","65.4"
"2023-06-01",0,"13","13","100.0"
"2023-06-01",1,"12","13","92.3"
"2023-06-01",2,"12","13","92.3"
"2023-06-01",3,"11","13","84.6"
"2023-06-01",4,"11","13","84.6"
"2023-06-01",5,"11","13","84.6"
"2023-06-01",6,"11","13","84.6"
"2023-06-01",7,"11","13","84.6"
"2023-06-01",8,"11","13","84.6"
"2023-06-01",9,"11","13","84.6"
"2023-06-01",10,"10","13","76.9"
"2023-06-01",11,"9","13","69.2"
"2023-06-01",12,"9","13","69.2"
"2023-07-01",0,"12","12","100.0"
"2023-07-01",1,"12","12","100.0"
"2023-07-01",2,"12","12","100.0"
"2023-07-01",3,"11","12","91.7"
"2023-07-01",4,"11","12","91.7"
"2023-07-01",5,"11","12","91.7"
"2023-07-01",6,"10","12","83.3"
"2023-07-01",7,"9","12","75.0"
"2023-07-01",8,"9","12","75.0"
"2023-07-01",9,"8","12","66.7"
"2023-07-01",10,"8","12","66.7"
"2023-07-01",11,"8","12","66.7"
"2023-07-01",12,"7","12","58.3"
"2023-08-01",0,"16","16","100.0"
"2023-08-01",1,"15","16","93.8"
"2023-08-01",2,"15","16","93.8"
"2023-08-01",3,"15","16","93.8"
"2023-08-01",4,"13","16","81.3"
"2023-08-01",5,"12","16","75.0"
"2023-08-01",6,"12","16","75.0"
"2023-08-01",7,"11","16","68.8"
"2023-08-01",8,"10","16","62.5"
"2023-08-01",9,"10","16","62.5"
"2023-08-01",10,"9","16","56.3"
"2023-08-01",11,"7","16","43.8"
"2023-08-01",12,"7","16","43.8"
"2023-09-01",0,"23","23","100.0"
"2023-09-01",1,"21","23","91.3"
"2023-09-01",2,"18","23","78.3"
"2023-09-01",3,"16","23","69.6"
"2023-09-01",4,"14","23","60.9"
"2023-09-01",5,"14","23","60.9"
"2023-09-01",6,"12","23","52.2"
"2023-09-01",7,"11","23","47.8"
"2023-09-01",8,"11","23","47.8"
"2023-09-01",9,"10","23","43.5"
"2023-09-01",10,"10","23","43.5"
"2023-09-01",11,"7","23","30.4"
"2023-09-01",12,"5","23","21.7"
"2023-10-01",0,"19","19","100.0"
"2023-10-01",1,"18","19","94.7"
"2023-10-01",2,"18","19","94.7"
"2023-10-01",3,"15","19","78.9"
"2023-10-01",4,"14","19","73.7"
"2023-10-01",5,"11","19","57.9"
"2023-10-01",6,"9","19","47.4"
"2023-10-01",7,"8","19","42.1"
"2023-10-01",8,"7","19","36.8"
"2023-10-01",9,"5","19","26.3"
"2023-10-01",10,"5","19","26.3"
"2023-10-01",11,"5","19","26.3"
"2023-10-01",12,"4","19","21.1"
"2023-11-01",0,"25","25","100.0"
"2023-11-01",1,"21","25","84.0"
"2023-11-01",2,"19","25","76.0"
"2023-11-01",3,"17","25","68.0"
"2023-11-01",4,"16","25","64.0"
"2023-11-01",5,"16","25","64.0"
"2023-11-01",6,"13","25","52.0"
"2023-11-01",7,"12","25","48.0"
"2023-11-01",8,"10","25","40.0"
"2023-11-01",9,"9","25","36.0"
"2023-11-01",10,"8","25","32.0"
"2023-11-01",11,"7","25","28.0"
"2023-11-01",12,"6","25","24.0"
"2023-12-01",0,"18","18","100.0"
"2023-12-01",1,"15","18","83.3"
"2023-12-01",2,"15","18","83.3"
"2023-12-01",3,"11","18","61.1"
"2023-12-01",4,"10","18","55.6"
"2023-12-01",5,"10","18","55.6"
"2023-12-01",6,"9","18","50.0"
"2023-12-01",7,"7","18","38.9"
"2023-12-01",8,"6","18","33.3"
"2023-12-01",9,"6","18","33.3"
"2023-12-01",10,"4","18","22.2"
"2023-12-01",11,"4","18","22.2"
"2023-12-01",12,"4","18","22.2"
"2024-01-01",0,"15","15","100.0"
"2024-01-01",1,"14","15","93.3"
"2024-01-01",2,"13","15","86.7"
"2024-01-01",3,"12","15","80.0"
"2024-01-01",4,"9","15","60.0"
"2024-01-01",5,"7","15","46.7"
"2024-01-01",6,"6","15","40.0"
"2024-01-01",7,"5","15","33.3"
"2024-01-01",8,"5","15","33.3"
"2024-01-01",9,"4","15","26.7"
"2024-01-01",10,"4","15","26.7"
"2024-01-01",11,"4","15","26.7"
"2024-01-01",12,"4","15","26.7"
"2024-02-01",0,"13","13","100.0"
"2024-02-01",1,"12","13","92.3"
"2024-02-01",2,"10","13","76.9"
"2024-02-01",3,"9","13","69.2"
"2024-02-01",4,"8","13","61.5"
"2024-02-01",5,"7","13","53.8"
"2024-02-01",6,"6","13","46.2"
"2024-02-01",7,"6","13","46.2"
"2024-02-01",8,"5","13","38.5"
"2024-02-01",9,"5","13","38.5"
"2024-02-01",10,"5","13","38.5"
"2024-02-01",11,"5","13","38.5"
"2024-02-01",12,"5","13","38.5"
"2024-03-01",0,"23","23","100.0"
"2024-03-01",1,"20","23","87.0"
"2024-03-01",2,"17","23","73.9"
"2024-03-01",3,"15","23","65.2"
"2024-03-01",4,"14","23","60.9"
"2024-03-01",5,"11","23","47.8"
"2024-03-01",6,"11","23","47.8"
"2024-03-01",7,"9","23","39.1"
"2024-03-01",8,"9","23","39.1"
"2024-03-01",9,"8","23","34.8"
"2024-03-01",10,"8","23","34.8"
"2024-03-01",11,"8","23","34.8"
"2024-03-01",12,"8","23","34.8"
"2024-04-01",0,"21","21","100.0"
"2024-04-01",1,"16","21","76.2"
"2024-04-01",2,"15","21","71.4"
"2024-04-01",3,"12","21","57.1"
"2024-04-01",4,"9","21","42.9"
"2024-04-01",5,"7","21","33.3"
"2024-04-01",6,"7","21","33.3"
"2024-04-01",7,"6","21","28.6"
"2024-04-01",8,"5","21","23.8"
"2024-04-01",9,"5","21","23.8"
"2024-04-01",10,"5","21","23.8"
"2024-04-01",11,"5","21","23.8"
"2024-04-01",12,"5","21","23.8"
"2024-05-01",0,"21","21","100.0"
"2024-05-01",1,"15","21","71.4"
"2024-05-01",2,"11","21","52.4"
"2024-05-01",3,"11","21","52.4"
"2024-05-01",4,"10","21","47.6"
"2024-05-01",5,"9","21","42.9"
"2024-05-01",6,"7","21","33.3"
"2024-05-01",7,"7","21","33.3"
"2024-05-01",8,"7","21","33.3"
"2024-05-01",9,"7","21","33.3"
"2024-05-01",10,"7","21","33.3"
"2024-05-01",11,"7","21","33.3"
"2024-05-01",12,"7","21","33.3"
"2024-06-01",0,"19","19","100.0"
"2024-06-01",1,"16","19","84.2"
"2024-06-01",2,"13","19","68.4"
"2024-06-01",3,"10","19","52.6"
"2024-06-01",4,"9","19","47.4"
"2024-06-01",5,"7","19","36.8"
"2024-06-01",6,"6","19","31.6"
"2024-06-01",7,"6","19","31.6"
"2024-06-01",8,"6","19","31.6"
"2024-06-01",9,"6","19","31.6"
"2024-06-01",10,"6","19","31.6"
"2024-06-01",11,"6","19","31.6"
"2024-06-01",12,"6","19","31.6"
"2024-07-01",0,"25","25","100.0"
"2024-07-01",1,"21","25","84.0"
"2024-07-01",2,"17","25","68.0"
"2024-07-01",3,"12","25","48.0"
"2024-07-01",4,"10","25","40.0"
"2024-07-01",5,"10","25","40.0"
"2024-07-01",6,"10","25","40.0"
"2024-07-01",7,"10","25","40.0"
"2024-07-01",8,"10","25","40.0"
"2024-07-01",9,"10","25","40.0"
"2024-07-01",10,"10","25","40.0"
"2024-07-01",11,"10","25","40.0"
"2024-07-01",12,"10","25","40.0"
"2024-08-01",0,"18","18","100.0"
"2024-08-01",1,"14","18","77.8"
"2024-08-01",2,"11","18","61.1"
"2024-08-01",3,"10","18","55.6"
"2024-08-01",4,"9","18","50.0"
"2024-08-01",5,"9","18","50.0"
"2024-08-01",6,"9","18","50.0"
"2024-08-01",7,"9","18","50.0"
"2024-08-01",8,"9","18","50.0"
"2024-08-01",9,"9","18","50.0"
"2024-08-01",10,"9","18","50.0"
"2024-08-01",11,"9","18","50.0"
"2024-08-01",12,"9","18","50.0"
"2024-09-01",0,"20","20","100.0"
"2024-09-01",1,"9","20","45.0"
"2024-09-01",2,"7","20","35.0"
"2024-09-01",3,"4","20","20.0"
"2024-09-01",4,"4","20","20.0"
"2024-09-01",5,"4","20","20.0"
"2024-09-01",6,"4","20","20.0"
"2024-09-01",7,"4","20","20.0"
"2024-09-01",8,"4","20","20.0"
"2024-09-01",9,"4","20","20.0"
"2024-09-01",10,"4","20","20.0"
"2024-09-01",11,"4","20","20.0"
"2024-09-01",12,"4","20","20.0"
"2024-10-01",0,"29","29","100.0"
"2024-10-01",1,"18","29","62.1"
"2024-10-01",2,"12","29","41.4"
"2024-10-01",3,"12","29","41.4"
"2024-10-01",4,"12","29","41.4"
"2024-10-01",5,"12","29","41.4"
"2024-10-01",6,"12","29","41.4"
"2024-10-01",7,"12","29","41.4"
"2024-10-01",8,"12","29","41.4"
"2024-10-01",9,"12","29","41.4"
"2024-10-01",10,"12","29","41.4"
"2024-10-01",11,"12","29","41.4"
"2024-10-01",12,"12","29","41.4"
"2024-11-01",0,"24","24","100.0"
"2024-11-01",1,"8","24","33.3"
"2024-11-01",2,"8","24","33.3"
"2024-11-01",3,"8","24","33.3"
"2024-11-01",4,"8","24","33.3"
"2024-11-01",5,"8","24","33.3"
"2024-11-01",6,"8","24","33.3"
"2024-11-01",7,"8","24","33.3"
"2024-11-01",8,"8","24","33.3"
"2024-11-01",9,"8","24","33.3"
"2024-11-01",10,"8","24","33.3"
"2024-11-01",11,"8","24","33.3"
"2024-11-01",12,"8","24","33.3"
"2024-12-01",0,"6","6","100.0"
"2024-12-01",1,"6","6","100.0"
"2024-12-01",2,"6","6","100.0"
"2024-12-01",3,"6","6","100.0"
"2024-12-01",4,"6","6","100.0"
"2024-12-01",5,"6","6","100.0"
"2024-12-01",6,"6","6","100.0"
"2024-12-01",7,"6","6","100.0"
"2024-12-01",8,"6","6","100.0"
"2024-12-01",9,"6","6","100.0"
"2024-12-01",10,"6","6","100.0"
"2024-12-01",11,"6","6","100.0"
"2024-12-01",12,"6","6","100.0"
